word,word_feature_264,word_feature_35,word_feature_292,word_feature_20,word_feature_12,word_feature_284,word_feature_165,word_feature_266,word_feature_139,word_feature_157,word_feature_281,word_feature_56,word_feature_294,word_feature_193,word_feature_162,word_feature_119,word_feature_118,word_feature_299,word_feature_236,word_feature_231,word_feature_221,word_feature_289,word_feature_223,word_feature_222,word_feature_163,word_feature_140,word_feature_11,word_feature_108,word_feature_42,word_feature_248,word_feature_16,word_feature_125,word_feature_152,word_feature_44,word_feature_107,word_feature_258,word_feature_275,word_feature_52,word_feature_124,word_feature_72,word_feature_195,word_feature_290,word_feature_297,word_feature_121,word_feature_126,word_feature_142,word_feature_155,word_feature_237,word_feature_138,word_feature_96,word_feature_296,word_feature_128,word_feature_235,word_feature_150,word_feature_242,word_feature_175,word_feature_33,word_feature_230,word_feature_254,word_feature_257,word_feature_76,word_feature_220,word_feature_226,word_feature_159,word_feature_212,word_feature_213,word_feature_172,word_feature_26,word_feature_168,word_feature_143,word_feature_67,word_feature_280,word_feature_190,word_feature_130,word_feature_80,word_feature_27,word_feature_86,word_feature_244,word_feature_63,word_feature_94,word_feature_300,word_feature_129,word_feature_277,word_feature_205,word_feature_176,word_feature_239,word_feature_291,word_feature_188,word_feature_65,word_feature_232,word_feature_214,word_feature_7,word_feature_110,word_feature_100,word_feature_144,word_feature_4,word_feature_167,word_feature_206,word_feature_216,word_feature_171
ball,0.38453,-0.015654,-0.12203,-0.097704,-0.1172,-0.31193,-0.044706,-0.36522,-0.10543,-0.12834,0.085211,0.11362,0.21048,-0.44179,-0.02403,-0.34044,-0.28233,-0.13595,0.46278,-0.44476,0.19802,0.33879,0.10921,-0.15565,0.036065,-0.16973,0.12732,-0.10835,-0.21532,-0.030803,-0.044028,0.42642,-0.0909,-0.46052,-0.14338,-0.10387,-0.47087,0.21808,0.18129,0.10583,-0.023225,-0.054353,0.093736,0.22002,0.00781,0.46286,-0.43453,-0.42242,0.55221,-0.21246,-0.41998,0.14143,-0.28404,-0.26904,0.2901,0.51032,-0.012497,0.25471,0.48456,-0.72638,-0.22729,0.010687,-0.28384,-0.35605,0.50031,0.26749,0.48517,-0.18251,-0.085569,-0.49271,0.25892,-0.24615,0.23447,0.02626,0.31238,-0.57127,-0.78192,0.62444,0.094396,-0.3376,0.30518,-0.39,0.2727,-0.22447,0.17337,0.39548,0.16482,0.3475,0.26203,0.011507,0.38182,-0.16427,0.42704,-0.37324,0.12641,0.19963,0.40749,0.21405,-0.18438,-0.054488
bar,0.22037,0.078972,0.79399,-0.28197,0.39878,-0.12509,0.28675,0.17854,-0.11174,-0.097217,0.1597,-0.3271,-0.39407,0.22059,0.007249,-0.82353,-0.024343,-0.36932,-0.15276,-0.15285,0.10151,-0.047674,-0.42201,0.10462,0.25595,-0.22123,0.053546,-0.11216,0.067519,-0.088406,0.24066,-0.12195,0.46211,0.2835,0.29144,0.91492,0.20007,0.52359,0.33971,0.38737,0.33993,0.10426,-0.18053,-0.040897,-0.14259,0.17197,0.22366,-0.18827,0.37633,0.095799,-0.063698,0.27513,-0.55654,0.85757,0.074592,0.19399,-0.70359,-0.55604,-0.081032,-0.27293,-0.32225,-0.44867,-0.15901,-0.37259,-0.67982,0.084037,0.70785,0.06293,0.24185,-0.28879,0.15593,-0.17717,0.32145,-0.29811,0.51947,0.11381,0.13149,0.28039,0.1558,-0.77259,0.61414,-0.21451,0.44528,-0.62121,-0.14787,0.35068,0.31735,0.38746,-0.27259,0.17907,0.44826,-0.1538,-0.13436,-0.40036,-0.43747,-0.026689,-0.04191,0.2909,0.21234,0.2217
bear,-0.33127,-0.14524,-0.19598,0.13055,0.1053,-0.001,-0.35531,-0.20351,-0.001062,0.14561,0.17139,-0.10817,-0.57674,0.2711,0.19071,-0.63394,0.11473,-0.074697,-0.087887,0.011622,-0.41326,0.26059,0.4512,0.33786,0.022621,-0.40181,0.17465,0.14095,0.28375,-0.78413,0.56092,0.303,-0.166,0.48155,0.41374,0.14783,-0.40555,-0.11406,0.18064,-0.3089,0.05064,0.15355,-0.15661,0.15647,0.39461,-0.309,-0.18564,-0.85792,-0.18276,-0.029698,-0.32163,-0.32976,-0.11294,-0.54945,0.20897,0.70318,0.2821,-0.17727,0.48983,-0.20324,0.43322,-0.39423,-0.089368,-0.22771,-0.15355,-0.062138,-0.29542,0.30846,0.23584,-0.35121,0.15334,0.17406,-0.50449,0.26039,0.085574,-0.007123,-0.33916,-0.092673,0.31259,0.17181,0.022059,-0.15795,0.19188,-0.88543,-0.09013,-0.15179,-0.039469,-0.1142,-0.028808,-0.047112,0.20718,-0.744,-0.25846,-0.14565,0.058001,-0.18161,0.026632,0.18423,-0.056126,-0.083492
beat,-0.59483,0.74425,-0.27052,-0.003937,-0.4971,0.66185,-0.072695,0.16857,0.44437,-0.21496,0.16328,0.021844,-0.085158,-0.34416,-0.1536,-0.52151,-0.41229,0.39005,0.007328,-0.41864,0.17753,-0.40338,0.13634,-0.46997,-0.44372,-0.011918,0.30531,0.1696,-0.50255,-0.046243,0.34475,0.029058,-0.068172,0.61874,0.014182,-0.045669,-0.025546,0.096116,-0.34962,0.24048,-0.076446,0.2306,0.19184,-0.13496,-0.1829,-0.26031,0.039821,0.1183,0.14685,-0.24552,-0.44826,-0.19781,-0.016548,-0.040079,0.12562,-0.50365,-0.11117,0.14241,0.1508,0.5467,-0.29849,0.12228,-0.18835,-0.13403,0.35672,0.23035,-0.31377,0.17038,-0.03218,-0.24641,0.48262,0.020556,-0.32724,-0.042948,-0.27928,-0.29775,-0.15599,-0.047795,-0.23211,-0.47721,-0.10533,-0.083458,0.065484,0.29112,-0.21048,0.19994,0.80341,-0.41029,0.27047,-0.008353,0.48719,0.43992,0.14185,0.019771,-0.28817,0.11853,-0.01497,-0.11489,-0.23882,0.41662
bed,-0.21956,0.34566,0.097527,0.009375,-0.030646,0.081223,0.056217,-0.2345,-0.36663,0.13518,-0.35698,0.23341,0.11767,0.024295,0.51043,0.10769,-0.025169,0.34454,-0.25296,0.048979,0.46269,-0.99478,-0.11381,-0.12572,0.34765,0.15084,0.3581,0.10659,0.024268,-0.20518,0.037525,0.15952,-0.4073,-0.012552,0.12537,-0.11489,-0.046459,-0.017215,-0.63813,-0.53759,-0.013082,0.15174,-0.087738,-0.24064,-0.017728,-0.26156,-0.23548,-0.61497,-0.44983,-0.19002,-0.002405,0.53328,0.13437,0.73459,0.006724,0.37749,0.008613,-0.10067,-0.38833,-0.67768,0.056219,-0.25398,-0.16784,-0.32601,-0.08221,-0.33587,-0.1492,0.55506,0.061699,-0.14895,-0.51832,-0.40329,-0.29564,0.012059,-0.56993,0.11504,-0.73837,-0.060377,0.19812,0.045714,0.82359,0.25893,0.10382,-1.0182,0.20494,-0.48856,0.47307,0.33141,0.05453,-0.32137,0.38712,-0.50748,-0.015602,-0.27278,-0.62307,-0.047119,-0.098703,-0.34,0.65476,-0.37273
beer,-0.49361,-0.086817,0.51838,-0.46088,0.68872,-0.037533,-0.066041,-0.24077,-0.51317,0.55311,0.52426,-0.2298,0.42041,0.10263,-0.22957,-0.55463,-1.2019,0.3969,0.063687,0.14939,-0.48568,0.69914,-0.27183,-0.39157,-0.12108,-0.41609,-0.23849,0.28412,0.22002,0.070127,0.23907,-0.078954,0.91142,-0.20859,-0.095363,-0.13275,0.58348,-0.16306,0.38962,-0.31132,0.29429,0.086967,-0.073752,0.31539,-0.47363,0.074442,-0.17638,-0.009585,0.22816,0.015401,0.001221,0.29163,-0.2697,0.52489,-0.60119,0.46288,-0.22239,0.57915,-0.5391,-0.17066,-0.00688,-0.13977,-0.17555,-0.58789,-0.2556,0.56757,0.23766,-0.17015,0.31158,-0.31188,0.40965,0.60924,0.36932,0.18778,0.60227,0.12012,0.4568,0.43441,-0.26787,-0.45614,0.24325,0.41415,1.1519,-0.7272,-0.3788,-0.31516,0.53214,0.019769,-0.11577,0.067765,0.20218,0.62767,-0.62175,-0.50743,-0.10626,-0.34211,0.67697,0.71823,-0.54441,0.12277
big,-0.21975,-0.18712,-0.47186,0.046314,-0.068706,0.12442,-0.30127,-0.14031,0.70064,0.051121,-0.055995,-0.31831,0.017901,0.10473,-0.57528,-0.52471,-0.21307,0.041981,0.58883,-0.22495,-0.024462,-0.43557,0.098388,0.10177,-0.086084,0.22204,0.001454,-0.51916,0.54518,-0.081057,-0.045185,0.20605,-0.20252,-0.23235,0.29325,0.026663,0.014015,-0.33371,-0.13453,-0.24892,-0.56464,0.20359,-0.1944,0.29678,0.003348,-0.44936,0.02426,-0.10534,-0.02979,0.30265,-0.11977,0.1988,-0.26076,-0.077734,-0.11084,-0.33779,0.26123,0.068652,0.14272,-0.0162,0.14146,0.14264,0.034839,-0.31969,0.43936,0.27231,-0.60056,-0.0049,0.19985,-0.029821,0.057205,-0.21959,0.28147,0.67699,-0.35886,-0.28128,-0.34557,0.4201,-0.37522,0.31257,0.037824,-0.2543,0.30335,-0.39981,-0.15888,0.22437,0.53103,0.29273,-0.27229,-0.29267,-0.03903,-0.45769,0.14862,-0.11679,0.059874,-0.41328,0.18579,0.15279,-0.017084,-0.098366
bird,-0.41608,-0.31298,0.009976,0.24816,0.24508,0.082869,-0.37877,-0.23034,-0.33804,0.24665,-0.19291,0.30022,-0.61464,-0.26558,-0.50495,0.24774,-0.001016,-0.21335,0.13084,0.13068,-0.061984,-0.19734,0.098595,-0.66102,-0.33978,0.048501,0.51047,0.004214,0.10487,-0.3009,0.004736,-0.029411,-0.25889,-0.15778,-0.39434,-0.70695,-0.17246,-0.77953,0.31777,0.39265,0.34646,0.50995,-0.77004,-0.037827,-0.096451,-0.49385,0.053357,-0.23766,-0.033044,0.48585,-0.36363,0.46309,-0.43816,-0.49068,0.31918,0.001426,0.25076,0.0698,0.35775,0.30307,-0.058734,0.14336,0.3915,0.21848,1.0023,0.053399,-0.33537,-0.14083,0.22063,0.23793,-0.42195,0.62527,0.32855,-0.1581,1.0201,-0.028453,-0.63382,-0.37715,0.62247,0.25132,0.097088,0.33413,-0.32675,-0.27894,0.41128,0.22156,-0.38254,0.17365,-0.4817,0.1424,0.31158,-0.88463,0.39965,-0.071953,-0.37207,-0.22108,-0.6895,0.22192,0.48701,-0.4962
blood,0.41108,-0.1825,0.46567,0.061415,-0.48483,0.25932,0.23975,0.49336,0.20985,-0.32823,0.50722,-0.092183,0.57478,-0.15424,0.011084,-0.095741,-0.44642,0.18097,-0.024104,0.18281,-0.38793,0.097655,-0.20626,0.14682,0.17604,-0.002043,0.50937,0.5362,0.24308,0.20408,-0.59759,-0.62507,-0.10444,-0.47218,-0.61461,-0.17263,-0.097498,-0.14102,-0.31353,0.017921,0.015457,0.16672,-0.034354,-0.24352,-0.010437,0.065146,-0.17835,0.60298,0.007127,-0.19246,0.084415,0.24896,-0.34033,0.17526,-0.63944,0.38686,0.25901,-0.21026,0.73072,-0.16535,-0.42414,0.027442,-0.32808,-0.21832,-0.10625,0.51101,-0.13128,0.26669,-0.59194,0.23723,0.29359,0.17589,0.011324,0.41539,0.16532,0.045037,0.10039,0.076494,-0.73312,0.37547,-0.2639,-0.58885,-1.274,-0.15024,-0.053114,0.1714,0.10437,0.16984,0.32636,-0.28437,0.6192,-0.39313,-0.094963,-0.47231,0.34469,0.05383,-0.34024,-0.56044,0.11642,0.17753
body,-0.69095,0.21444,0.31341,0.009683,-0.25619,0.83193,0.28051,0.27939,0.46241,-0.564,-0.12276,-0.24015,0.37567,0.18121,-0.62627,-0.087575,-0.1257,-0.55298,0.086107,-0.050594,-0.45092,-0.060708,-0.25487,0.28303,0.49832,0.13244,0.72862,0.10909,-0.10895,-0.4417,-0.62979,-0.062746,-0.48602,0.42871,0.11626,0.4519,-0.5595,0.38919,0.54362,-0.19629,0.31105,0.18806,0.19207,0.11582,0.097308,-0.7539,-0.22348,0.25486,-0.25667,-0.51712,-0.05855,0.080415,-0.3086,0.18262,-0.32054,0.12119,-0.28097,-0.94638,0.080294,-0.59512,-0.55726,-0.070725,-0.69693,0.35081,-0.30999,0.39407,0.34379,-0.52174,-0.066838,0.27142,0.32458,0.22656,0.43972,0.27059,-0.11012,-0.083163,-0.41122,-0.064235,0.042529,-0.19079,0.19776,0.37593,-0.50075,-0.51049,0.051537,-0.031441,0.35131,0.28247,0.5018,0.20414,-0.073659,0.60862,0.070633,-0.081751,-0.45649,0.4824,-0.48457,-0.45175,-0.093888,-0.44498
brain,0.08932,0.13762,-0.31868,0.098809,-0.56552,0.16247,0.36036,0.026916,0.10586,0.20832,-0.43888,0.56284,0.21724,-0.064819,0.042234,0.009723,0.38002,-0.069031,-0.60646,0.17952,0.36137,0.55549,-0.6348,0.014589,-0.15237,0.000261,0.085081,-0.042252,0.079012,0.031665,-0.33201,0.12899,-0.43463,0.011961,-0.089231,0.005267,-0.35559,-0.46721,-0.064661,-0.31843,-0.19253,0.28307,-0.062615,-0.63157,-0.26682,-0.45028,0.60633,0.12603,-0.10788,0.12951,0.4424,-0.09639,-0.28918,-0.12113,-0.10536,0.24637,-0.25012,0.16548,0.41079,0.17095,-0.34579,0.28154,-0.19852,0.01941,0.57921,0.45754,-0.20157,-0.22447,-0.5717,0.25422,0.81787,0.34705,0.66149,0.72311,0.36495,-0.044491,-0.1595,0.14639,-0.31151,0.76178,0.75409,-0.054178,-1.0284,-0.1881,-0.28916,0.18293,0.5528,-0.026306,0.084747,-0.134,0.041605,0.71002,-0.47758,0.35474,-0.094164,0.59016,-0.17609,-0.31338,-0.60066,-0.56107
broken,-0.56352,-0.053203,0.40426,-0.1515,0.28327,-0.21686,-0.327,0.66654,0.17239,0.33884,0.30043,0.04071,0.81701,-0.018109,0.22211,0.14347,-0.057911,-0.034223,-0.12954,0.23638,0.2862,-0.22234,0.12976,0.12968,-0.14463,-0.19961,0.46116,-0.000422,0.38031,-0.15176,0.49456,-0.26908,0.089055,-0.17098,-0.078102,0.31417,0.17727,-0.29495,0.10227,0.13119,0.25094,0.22091,0.0378,0.03328,0.03513,-0.1206,-0.04149,-0.25292,0.1606,0.012261,-0.004819,0.38076,-0.017266,-0.20334,0.050969,-0.17311,-0.040781,-0.24921,0.59776,0.11543,0.10293,0.1459,0.22027,-0.10888,0.20058,-0.071762,-0.186,0.044241,-0.50959,0.33894,-0.18035,-0.073317,0.1438,-0.47423,-0.081366,-0.13343,-0.50079,-0.22524,-0.099979,-0.007716,-0.26867,0.35412,-0.18642,-0.25043,0.000924,-0.27849,0.47066,0.38879,-0.39972,0.10012,0.45189,-0.40029,0.066569,-0.069914,-0.080599,0.33308,-0.052438,-0.31044,-0.45388,0.13762
